White,Johnson,408 496-7223,5335.5,"At a dinner party, one should eat wisely but not too well, and talk well but"
Green,Marjorie,415 986-7020,5226.4,"""The minute you settle for less than you deserve, you get even less than you settled for."""
Carson,Cheryl,415 548-7723,13265.5,"Ah, but a man's reach should exceed his grasp, Or what's a heaven for?"
O'Leary,Michael,408 286-2428,771.68,And there is even a happiness that makes the heart afraid
Straight,Dean,415 834-2919,3235.8,I like to see a man proud of the place in which he lives. I like to see a man live so that his place will be proud of him.
Smith,Meander,913 843-0462,4315.75,"The struggle against war, properly understood and executed, presupposes the uncompromising hostility of the proletariat and its organizations, always and everywhere, toward its own and every other imperialist bourgeoisie..."
Bennet,Abraham,415 658-9932,665.77,The best sauce for food is hunger
Dull,Ann,415 836-7128,998.63,Don't worry that children never listen to you. Worry that they are always watching you.
Gringlesby,Burt,707 938-6445,3314.12,No rule of success will work if you don't
Locksley,Charlene,415 585-4620,667.95,"Let me say to you that to do nothing at all is the most difficult thing in the world, and the most intellectual"
Greene,Morningstar,615 297-2723,23445.6,"The Lord made Adam, the Lord made Eve, he made em both a little bit naive."
Blotchet-Halls,Reginald,503 745-6402,779.73,"Any jackass can kick down a barn, but it takes a good carpenter to build one"
Yokomoto,Akiko,415 935-4228,3381.45,The secret of success in life is known only to those who have not succeeded
del Castillo,Innes,615 996-8275,23110.18,"It is said an Eastern monarch once charged his wise men to invent him a sentence to be ever in view, and which should be true and appropriate in all times and situations. They presented him the words: 'And this, too, shall pass away.' How much it expresses! How chastening in the hour of pride! How consoling in the depths of affliction!"
DeFrance,Michel,219 547-9982,779.64,The least pain in our little finger gives us more concern and uneasiness than the destruction of millions of our fellow-beings
Stringer,Dirk,415 843-2991,993.14,"If we don't end war, war will end us."
MacFeather,Stearns,415 354-7128,886.17,"If ignorance is bliss, why aren't there more happy people ?"
Karsen,Livia,415 534-9219,3345.15,"When men and women agree, it is only in their conclusions; their reasons are always different"
Panteley,Sylvia,301 946-8853,776.48,Delay of justice is injustice
Hunter,Sheryl,415 836-7128,5594.33,We have seen the enemy and he is us.
McBadden,Heather,707 448-4982,3817.18,"""hello, world"""
"Rin""ger",Anne,801 826-0752,4465.13,
Ringer,Albert,801 826-0752,5559.95,
